month,product_line,region,units_sold,revenue,cost_of_goods_sold,gross_profit,gross_margin_percent,year_month
2024-01,Product A,North,15000,750000,450000,300000,40.00,2024-01
2024-01,Product B,South,10000,500000,300000,200000,40.00,2024-01
2024-01,Product C,East,8000,240000,144000,96000,40.00,2024-01
2024-02,Product A,North,16500,825000,495000,330000,40.00,2024-02
2024-02,Product B,South,11000,550000,330000,220000,40.00,2024-02
2024-02,Product C,East,8500,255000,153000,102000,40.00,2024-02
2024-03,Product A,North,18000,900000,540000,360000,40.00,2024-03
2024-03,Product B,South,12000,600000,360000,240000,40.00,2024-03
2024-03,Product C,East,9500,285000,171000,114000,40.00,2024-03
2024-04,Product A,North,19500,975000,585000,390000,40.00,2024-04
2024-04,Product B,South,13000,650000,390000,260000,40.00,2024-04
2024-04,Product C,East,10500,315000,189000,126000,40.00,2024-04
2024-05,Product A,North,21000,1050000,630000,420000,40.00,2024-05
2024-05,Product B,South,14000,700000,420000,280000,40.00,2024-05
2024-05,Product C,East,11500,345000,207000,138000,40.00,2024-05
2024-06,Product A,North,22500,1125000,675000,450000,40.00,2024-06
2024-06,Product B,South,15000,750000,450000,300000,40.00,2024-06
2024-06,Product C,East,12500,375000,225000,150000,40.00,2024-06
2024-07,Product A,North,24000,1200000,720000,480000,40.00,2024-07
2024-07,Product B,South,16000,800000,480000,320000,40.00,2024-07
2024-07,Product C,East,13500,405000,243000,162000,40.00,2024-07
2024-08,Product A,North,25500,1275000,765000,510000,40.00,2024-08
2024-08,Product B,South,17000,850000,510000,340000,40.00,2024-08
2024-08,Product C,East,14500,435000,261000,174000,40.00,2024-08
2024-09,Product A,North,27000,1350000,810000,540000,40.00,2024-09
2024-09,Product B,South,18000,900000,540000,360000,40.00,2024-09
2024-09,Product C,East,15500,465000,279000,186000,40.00,2024-09
2024-10,Product A,North,28500,1425000,855000,570000,40.00,2024-10
2024-10,Product B,South,19000,950000,570000,380000,40.00,2024-10
2024-10,Product C,East,16500,495000,297000,198000,40.00,2024-10
